ID,Creation year,Cielab b*,"No, hand folds",pH value,Recommended storage (based on pH),Recommended storage (based on hand folds),Overall storage recommenda-tion,Recommended use (based on hand folds),,,,,,,,,
6 KBS,1818,12.49,99,4.4,Cold,Room,Cold,Unrestricted,,,,,,,,,
6 LGV,1977,8.1,99,5.2,Cold,Room,Cold,Unrestricted,,,,,,,,,
60 KBS,1973,16.7,99,4.7,Cold,Room,Cold,Unrestricted,,,,,,,,,
60 LGV,1915,14.14,99,5.2,Cold,Room,Cold,Unrestricted,,,,,,,,,
61 KBS,1952,11.06,99,4.7,Cold,Room,Cold,Unrestricted,,,,,,,,,
61 LGV,1930,19.81,3,3.9,Freeze,Cold,Freeze,None,,,,,,,,,
62 KBS,1922,9.1,99,5.4,Cold,Room,Cold,Unrestricted,,,,,,,,,
62 LGV,1910,11.86,3,4.5,Cold,Cold,Cold,None,,,,,,,,,
63 KBS,1949,,99,5.8,Cool,Room,Cool,Unrestricted,,,,,,,,,
63 LGV,1879,8.93,6,5.7,Cool,Cool,Cool,Careful,,,,,,,,,
64 KBS,1984,1.47,99,7.9,Room,Room,Room,Unrestricted,,,,,,,,,
64 LGV,1939,10.5,6,4.7,Cold,Cool,Cold,Careful,,,,,,,,,
65 KBS,1921,16.46,3,4.2,Cold,Cold,Cold,None,,,,,,,,,
65 LGV,1904,15.53,3,4.2,Cold,Cold,Cold,None,,,,,,,,,
66 KBS,1963,9.76,99,4.8,Cold,Room,Cold,Unrestricted,,,,,,,,,
66 LGV,1929,19.01,3,4.1,Freeze,Cold,Freeze,None,,,,,,,,,
67 KBS,1972,4.09,99,5.5,Cold,Room,Cold,Unrestricted,,,,,,,,,
67 LGV,1933,11.49,99,4.5,Cold,Room,Cold,Unrestricted,,,,,,,,,
68 KBS,1909,13.87,1,4.6,Cold,Cold,Cold,None,,,,,,,,,
68 LGV,1938,19.26,2,4.5,Cold,Cold,Cold,None,,,,,,,,,
69 KBS,1980,14.58,99,5.8,Cool,Room,Cool,Unrestricted,,,,,,,,,
69 LGV,1924,18.31,12,4.4,Cold,Cool,Cold,Careful,,,,,,,,,
7 DNLB,1846,11.41,99,5,Cold,Room,Cold,Unrestricted,,,,,,,,,
7 KBS,1916,6.31,99,6.2,Cool,Room,Cool,Unrestricted,,,,,,,,,
7 LGV,1972,1.49,99,6.3,Cool,Room,Cool,Unrestricted,,,,,,,,,
70 KBS,1973,-0.83,99,8.1,Room,Room,Room,Unrestricted,,,,,,,,,
70 LGV,1961,10.26,99,4.9,Cold,Room,Cold,Unrestricted,,,,,,,,,
71 KBS,1984,-0.21,99,8.1,Room,Room,Room,Unrestricted,,,,,,,,,
71 LGV,1816,11.49,99,5.7,Cool,Room,Cool,Unrestricted,,,,,,,,,
72 KBS,1930,10.94,99,5.2,Cold,Room,Cold,Unrestricted,,,,,,,,,
72 LGV,1870,10.12,99,4.7,Cold,Room,Cold,Unrestricted,,,,,,,,,
73 KBS,1962,4.62,99,8.9,Room,Room,Room,Unrestricted,,,,,,,,,
73 LGV,1805,13.16,99,4.6,Cold,Room,Cold,Unrestricted,,,,,,,,,
74 KBS,1962,16.14,99,4.8,Cold,Room,Cold,Unrestricted,,,,,,,,,
74 LGV,1812,10.59,12,4.7,Cold,Cool,Cold,Careful,,,,,,,,,
75 KBS,1985,5.26,99,6.6,Cool,Room,Cool,Unrestricted,,,,,,,,,
75 LGV,1847,5.18,99,7.5,Room,Room,Room,Unrestricted,,,,,,,,,
76 KBS,1981,4,99,8.7,Room,Room,Room,Unrestricted,,,,,,,,,
76 LGV,1836,15.46,3,5.9,Cool,Cold,Cold,None,,,,,,,,,
77 KBS,1983,16.11,99,4.7,Cold,Room,Cold,Unrestricted,,,,,,,,,
77 LGV,1937,14.13,99,4.7,Cold,Room,Cold,Unrestricted,,,,,,,,,
78 KBS,1895,9.82,99,6.3,Cool,Room,Cool,Unrestricted,,,,,,,,,
78 LGV,1854,9.17,99,6.7,Cool,Room,Cool,Unrestricted,,,,,,,,,
79 KBS,1866,9.89,99,5.1,Cold,Room,Cold,Unrestricted,,,,,,,,,
79 LGV,1915,16.13,9,4.8,Cold,Cool,Cold,Careful,,,,,,,,,
8 DNLB,1801,19.59,3,4.2,Cold,Cold,Cold,None,,,,,,,,,
8 KBS,1892,20.61,3,4.2,Cold,Cold,Cold,None,,,,,,,,,
8 LGV,1982,0.51,99,5.5,Cold,Room,Cold,Unrestricted,,,,,,,,,
80 KBS,1931,30.36,99,5.1,Cold,Room,Cold,Unrestricted,,,,,,,,,
80 LGV,1968,7.64,99,6,Cool,Room,Cool,Unrestricted,,,,,,,,,
81 KBS,1948,11.8,99,4.7,Cold,Room,Cold,Unrestricted,,,,,,,,,
81 LGV,1817,13.63,99,5.5,Cold,Room,Cold,Unrestricted,,,,,,,,,
82 KBS,1927,13.31,99,5,Cold,Room,Cold,Unrestricted,,,,,,,,,
82 LGV,1984,-1.11,99,7.9,Room,Room,Room,Unrestricted,,,,,,,,,
83 KBS,1945,26.24,99,7.7,Room,Room,Room,Unrestricted,,,,,,,,,
83 LGV,1982,4.96,99,6.8,Cool,Room,Cool,Unrestricted,,,,,,,,,
84 KBS,1956,7.52,99,3.3,Freeze,Room,Freeze,Unrestricted,,,,,,,,,
84 LGV ,1980,9.9,x,7.2,Room,x,x,x,,,,,,,,,
85 KBS,1971,26.83,99,5,Cold,Room,Cold,Unrestricted,,,,,,,,,
85 LGV,1984,6.69,99,5.4,Cold,Room,Cold,Unrestricted,,,,,,,,,
86 KBS,1974,17.37,99,4.6,Cold,Room,Cold,Unrestricted,,,,,,,,,
86 LGV,1981,6.91,99,7.5,Room,Room,Room,Unrestricted,,,,,,,,,
87 KBS,1939,4.34,99,5,Cold,Room,Cold,Unrestricted,,,,,,,,,
87 LGV,1985,-1.92,99,8,Room,Room,Room,Unrestricted,,,,,,,,,
88 KBS,1960,9.19,99,4.9,Cold,Room,Cold,Unrestricted,,,,,,,,,
89 KBS,1956,13.56,99,5.2,Cold,Room,Cold,Unrestricted,,,,,,,,,
89 LGV,1983,,99,5.8,Cool,Room,Cool,Unrestricted,,,,,,,,,
9 DNLB,1880,12.52,99,7.1,Cool,Room,Cool,Unrestricted,,,,,,,,,
9 KBS,1834,14.47,99,4.7,Cold,Room,Cold,Unrestricted,,,,,,,,,
9 LGV,1985,1.01,99,8.2,Room,Room,Room,Unrestricted,,,,,,,,,
90 KBS,1922,13.47,99,5.3,Cold,Room,Cold,Unrestricted,,,,,,,,,
90 LGV,1977,2.78,99,5.6,Cold,Room,Cold,Unrestricted,,,,,,,,,
91 KBS,1965,28.17,99,4.6,Cold,Room,Cold,Unrestricted,,,,,,,,,
91 LGV,1973,10.69,99,4.6,Cold,Room,Cold,Unrestricted,,,,,,,,,
92 KBS,1958,15.97,99,4.6,Cold,Room,Cold,Unrestricted,,,,,,,,,
92 LGV,1984,3.59,99,8,Room,Room,Room,Unrestricted,,,,,,,,,
93 KBS,1927,11.84,99,5.1,Cold,Room,Cold,Unrestricted,,,,,,,,,
93 LGV,1985,0.2,99,6.3,Cool,Room,Cool,Unrestricted,,,,,,,,,
94 KBS,1929,13.85,99,4.7,Cold,Room,Cold,Unrestricted,,,,,,,,,
94 LGV,1980,14.94,99,5.2,Cold,Room,Cold,Unrestricted,,,,,,,,,
95 KBS,1895,18.07,12,4.5,Cold,Cool,Cold,Careful,,,,,,,,,
95 LGV,1985,-2.26,99,7.8,Room,Room,Room,Unrestricted,,,,,,,,,
96 KBS,1965,7.42,99,5,Cold,Room,Cold,Unrestricted,,,,,,,,,
96 LGV,1985,0.32,99,8,Room,Room,Room,Unrestricted,,,,,,,,,
97 KBS,1974,3.21,99,5.8,Cool,Room,Cool,Unrestricted,,,,,,,,,
98 KBS,1945,18.81,99,4.8,Cold,Room,Cold,Unrestricted,,,,,,,,,
98 LGV,1961,7.64,99,5.2,Cold,Room,Cold,Unrestricted,,,,,,,,,
99 KBS,1964,1.99,99,6.3,Cool,Room,Cool,Unrestricted,,,,,,,,,
99 LGV,1980,0.47,99,8,Room,Room,Room,Unrestricted,,,,,,,,,
k,1902,17.4,3,4.9,Cold,Cold,Cold,None,,,,,,,,,
l,1921,19.54,99,4.7,Cold,Room,Cold,Unrestricted,,,,,,,,,
m,1924,17.12,9,5,Cold,Cool,Cold,Careful,,,,,,,,,
n,1937,10.94,99,5.3,Cold,Room,Cold,Unrestricted,,,,,,,,,
o,1943,19.85,99,4.8,Cold,Room,Cold,Unrestricted,,,,,,,,,
