ID,Creation year,Cielab b*,"No, hand folds",pH value,Recommended storage (based on pH),Recommended storage (based on hand folds),Overall storage recommenda-tion,Recommended use (based on hand folds),,,,,,,,,
11 DNLB,1824,13.05,99,6,Cool,Room,Cool,Unrestricted,,,,,,,,,
11 KBS,1980,21.73,6,4.1,Freeze,Cool,Freeze,Careful,,,,,,,,,
11 LGV,1826,12.3,99,6.1,Cool,Room,Cool,Unrestricted,,,,,,,,,
110 KBS,1901,13.49,6,4.2,Cold,Cool,Cold,Careful,,,,,,,,,
110 LGV,1885,12.68,3,4.8,Cold,Cold,Cold,None,,,,,,,,,
111 KBS,1970,3.37,99,5.6,Cold,Room,Cold,Unrestricted,,,,,,,,,
112 KBS,1984,-0.81,99,9.3,Room,Room,Room,Unrestricted,,,,,,,,,
112 LGV,1843,13.63,12,4.7,Cold,Cool,Cold,Careful,,,,,,,,,
113 KBS,1985,1.33,99,6.3,Cool,Room,Cool,Unrestricted,,,,,,,,,
113 LGV,1879,12.77,99,4.8,Cold,Room,Cold,Unrestricted,,,,,,,,,
114 KBS,1984,-0.86,99,8.1,Room,Room,Room,Unrestricted,,,,,,,,,
114 LGV,1802,14.26,99,4.9,Cold,Room,Cold,Unrestricted,,,,,,,,,
115 KBS,1985,2.37,99,7.8,Room,Room,Room,Unrestricted,,,,,,,,,
115 LGV,1815,15.55,99,4.5,Cold,Room,Cold,Unrestricted,,,,,,,,,
116 KBS,1985,4.71,99,8,Room,Room,Room,Unrestricted,,,,,,,,,
116 LGV,1874,14.1,3,4.2,Cold,Cold,Cold,None,,,,,,,,,
117 KBS,1837,12.82,99,5.1,Cold,Room,Cold,Unrestricted,,,,,,,,,
117 LGV,1805,10.73,99,5.3,Cold,Room,Cold,Unrestricted,,,,,,,,,
118 KBS,1954,23.1,99,4.5,Cold,Room,Cold,Unrestricted,,,,,,,,,
118 LGV,1827,14.27,9,5.4,Cold,Cool,Cold,Careful,,,,,,,,,
119 KBS,1958,20.14,99,4.1,Freeze,Room,Freeze,Unrestricted,,,,,,,,,
119 LGV,1922,11.67,6,4.6,Cold,Cool,Cold,Careful,,,,,,,,,
12 DNLB,1809,12.73,x,4.7,Cold,x,x,x,,,,,,,,,
