53,1971,99,1.26,5.1
79,1866,99,9.89,5.1
80,1931,99,,5.1
93,1927,99,11.84,5.1
193,1961,99,7.06,5.1
136,1912,9,14.72,5.1
150,1964,99,12.86,5.1
3,1905,12,13.15,5.1
12,1930,99,20.98,5.1
17,1948,6,11.37,5.1
25,1835,99,11.29,5.1
3,1896,99,11.09,5.1
5,1807,99,13.34,5.1
30,1876,99,12.65,5.1
52,1905,12,10.2,5.1
53,1804,99,15.24,5.1
128,1889,3,,5.2
27,1979,99,3.71,5.2
29,1962,99,14.76,5.2
72,1930,99,10.94,5.2
89,1956,99,13.56,5.2
94,1980,99,14.94,5.2
97,1981,99,48.89,5.2
98,1961,99,7.64,5.2
137,1914,12,13.45,5.2
156,1821,99,10.2,5.2
160,1864,12,10.02,5.2
168,1948,99,6.53,5.2
176,1960,99,9.97,5.2
177,1966,99,15.83,5.2
178,1960,99,0.99,5.2
6,1977,99,8.1,5.2
34,1915,9,13.04,5.2
60,1915,99,14.14,5.2
109,1942,99,11.15,5.3
n,1937,99,10.94,5.3
136,1862,99,7.96,5.3
157,1929,9,8.86,5.3
169,1975,99,2.94,5.3
21,1918,99,14.21,5.3
30,1962,99,12.11,5.3
34,1964,99,2.78,5.3
42,1972,99,12.43,5.3
90,1922,99,13.47,5.3
200,1978,99,1.74,5.3
201,1914,99,12.89,5.3
104,1960,3,14.35,5.3
117,1805,99,10.73,5.3
134,1947,99,15.44,5.3
146,1840,99,16.11,5.3
152,1911,12,13.78,5.3
38,1915,12,16.15,5.3
124,1966,99,6.35,5.4
131,1958,99,9.18,5.4
20,1944,99,7.3,5.4
57,1884,99,9.26,5.4
62,1922,99,9.1,5.4
198,1976,99,5.49,5.4
118,1827,9,14.27,5.4
185,1981,99,2.41,5.4
4,1937,99,10.3,5.4
24,1907,99,9.7,5.4
1,1864,99,12.05,5.4
48,1902,99,14.88,5.4
55,1938,99,18.35,5.4
85,1984,99,6.69,5.4
130,1923,99,14.47,5.5
156,1884,9,14.4,5.5
160,1809,99,9.13,5.5
14,1949,99,8.65,5.5
22,1925,99,9.67,5.5
47,1970,99,3.62,5.5
67,1972,99,4.09,5.5
199,1981,99,11.55,5.5
204,1934,99,11.71,5.5
206,1872,6,11.68,5.5
209,1911,99,12.91,5.5
100,1972,99,11.92,5.5
105,1871,99,6.42,5.5
151,1972,99,8.14,5.5
8,1982,99,0.51,5.5
13,1928,99,13.59,5.5
28,1940,99,10.56,5.5
40,1819,99,12.12,5.5
